bigram|PMI
('analysis', 'ease')|11.26
('alto', 'c2t')|11.26
('advent', 'chorale')|11.26
('advanced', 'players')|11.26
('crossings', 'scarlatti')|11.26
('daredevil', 'leaps')|11.26
('grasp', 'pianists')|11.26
('gigue', 'breathless')|11.26
('gift', 'lyricism')|11.26
('gentle', 'raindrops')|11.26
('general', 'spirit')|11.26
('forte', 'outbursts')|11.26
('foreshadows', 'techniques')|11.26
('forecasting', 'textures')|11.26
('foot', 'etude')|11.26
('grows', 'tense')|11.26
('haze', 'overtones')|11.26
('incredible', 'dexterity')|11.26
('incredible', 'colouring')|11.26
('increase', 'tension')|11.26
('incorporates', 'ideas')|11.26
('idiosyncratic', 'elements')|11.26
('hops', 'leaps')|11.26
('hitches', 'tonality')|11.26
('flute', 'oboe')|11.26
('fluctuation', 'page')|11.26
('diverse', 'skills')|11.26
('dissolves', 'translucent')|11.26
('dim7', 'iv')|11.26
('deter', 'pianists')|11.26
('design', 'comprises')|11.26
('decorations', 'ornaments')|11.26
('dry', 'chorale')|11.26
('ease', 'reading')|11.26
('eighteenth', 'century')|11.26
('florid', 'elaboration')|11.26
('fingerings', 'isolate')|11.26
('favorite', 'shostakovich')|11.26
('extra', 'element')|11.26
('extensive', 'clarinet')|11.26
('execute', 'bold')|11.26
('entry', 'violent')|11.26
('contrapunctus', 'viii')|11.26
('semi', 'quavers')|11.2
